Question,Context,Answer
متى تولى بطليموس الثاني حكم مصر؟,تولى بطليموس الثاني حكم مصر بعد وفاة والده بطليموس الأول في العام 283 قبل الميلاد,تولى بطليموس الثاني حكم مصر بعد وفاة والده بطليموس الأول في العام 283 قبل الميلاد
ما هي الإصلاحات التي قام بها بطليموس الثاني في مصر؟,قام بطليموس الثاني بتوسيع الإمبراطورية البطلمية وتطوير البنية التحتية وتعزيز التجارة والثقافة,قام بطليموس الثاني بتوسيع الإمبراطورية البطلمية وتطوير البنية التحتية وتعزيز التجارة والثقافة
ا هي العلاقة بين بطليموس الثاني والثقافة اليونانية؟,كان بطليموس الثاني من مشجعي الثقافة اليونانية ودعم الفنون والعلوم والفلسفة اليونانية في مصر,كان بطليموس الثاني من مشجعي الثقافة اليونانية ودعم الفنون والعلوم والفلسفة اليونانية في مصر
كيف كانت العلاقة بين بطليموس الثاني والمصريين الأصليين؟,تبع بطليموس الثاني سياسة التعايش والتعاون مع المصريين الأصليين ودعم ثقافتهم وديانتهم,تبع بطليموس الثاني سياسة التعايش والتعاون مع المصريين الأصليين ودعم ثقافتهم وديانتهم
ما هي الإنجازات الثقافية التي حققها بطليموس الثاني في مصر؟,شجع بطليموس الثاني البحث العلمي وتطوير الفنون ودعم الأدب والفلسفة في مصر,شجع بطليموس الثاني البحث العلمي وتطوير الفنون ودعم الأدب والفلسفة في مصر
ما هي الإسهامات البناءة التي قدمها بطليموس الثاني في تطوير مصر؟,قام بطليموس الثاني بتحسين البنية التحتية وتطوير الموانئ والمدن وتوسيع الزراعة وتحسين الري,قام بطليموس الثاني بتحسين البنية التحتية وتطوير الموانئ والمدن وتوسيع الزراعة وتحسين الري
متى توفي بطليموس الثاني؟,توفي بطليموس الثاني في العام 246 قبل الميلاد,توفي بطليموس الثاني في العام 246 قبل الميلاد
ما هو التراث الثقافي الذي خلفه بطليموس الثاني في مصر؟,خلف بطليموس الثاني تراثًا ثقافيًا غنيًا في مصر، بما في ذلك التطور الاقتصادي والثقافي والعلمي,خلف بطليموس الثاني تراثًا ثقافيًا غنيًا في مصر، بما في ذلك التطور الاقتصادي والثقافي والعلمي
ما هي التحديات الرئيسية التي واجهت بطليموس الثاني خلال حكمه؟,واجه بطليموس الثاني تحديات من الأعداء الخارجيين والصراعات الداخلية والتحديات الاقتصادية,واجه بطليموس الثاني تحديات من الأعداء الخارجيين والصراعات الداخلية والتحديات الاقتصادية
كيف تميز حكم بطليموس الثاني في مصر؟,تميز حكم بطليموس الثاني بالتوسع الإقليمي والتطور الثقافي والاقتصادي لمصر,تميز حكم بطليموس الثاني بالتوسع الإقليمي والتطور الثقافي والاقتصادي لمصر
متى تولى بطليموس الثالث حكم مصر؟,تولى بطليموس الثالث حكم مصر بعد وفاة والده بطليموس الثاني في العام 246 قبل الميلاد,تولى بطليموس الثالث حكم مصر بعد وفاة والده بطليموس الثاني في العام 246 قبل الميلاد
كيف كانت الحياة الثقافية في مصر أثناء حكم بطليموس الثالث؟,تميزت الحياة الثقافية في مصر بتنوعها وازدهارها في فترة حكم بطليموس الثالث، حيث تطورت العلوم والفنون والأدب,تميزت الحياة الثقافية في مصر بتنوعها وازدهارها في فترة حكم بطليموس الثالث، حيث تطورت العلوم والفنون والأدب
ما هي الإنجازات العلمية التي تحققت في مصر خلال عهد بطليموس الثالث؟,شهدت مصر تقدمًا كبيرًا في العلوم الفلكية والرياضيات والطب والهندسة خلال فترة حكم بطليموس الثالث,شهدت مصر تقدمًا كبيرًا في العلوم الفلكية والرياضيات والطب والهندسة خلال فترة حكم بطليموس الثالث
ما هي الإسهامات الفنية التي قدمت في مصر خلال عهد بطليموس الثالث؟,شهدت الفنون في مصر تطورًا وتنوعًا كبيرين في عهد بطليموس الثالث، حيث ازدهرت النحت والرسم والعمارة.,شهدت الفنون في مصر تطورًا وتنوعًا كبيرين في عهد بطليموس الثالث، حيث ازدهرت النحت والرسم والعمارة.
ما هو المكان الذي توفي فيه بطليموس الثالث؟,توفي بطليموس الثالث في العام 222 قبل الميلاد في الإسكندرية,توفي بطليموس الثالث في العام 222 قبل الميلاد في الإسكندرية
ما هي الإصلاحات السياسية التي قام بها بطليموس الثالث في مصر؟,قام بطليموس الثالث بتوسيع الإمبراطورية البطلمية وتطوير البنية التحتية وتعزيز الحكم المركزي في مصر.,قام بطليموس الثالث بتوسيع الإمبراطورية البطلمية وتطوير البنية التحتية وتعزيز الحكم المركزي في مصر.
ما هي العلاقة بين بطليموس الثالث والديانات في مصر؟,كان بطليموس الثالث من المشجعين للديانات المختلفة في مصر ودعم التسامح الديني والتعايش السلمي,كان بطليموس الثالث من المشجعين للديانات المختلفة في مصر ودعم التسامح الديني والتعايش السلمي
ما هي الإصلاحات الاقتصادية التي قام بها بطليموس الثالث في مصر؟,قام بطليموس الثالث بتحسين البنية التحتية وتنمية الزراعة وتطوير التجارة ودعم الصناعات في مصر,قام بطليموس الثالث بتحسين البنية التحتية وتنمية الزراعة وتطوير التجارة ودعم الصناعات في مصر
ما هي الإسهامات التي قدمها بطليموس الثالث في تطوير الثقافة في مصر؟,دعم بطليموس الثالث الفنون والآداب والعلوم والفلسفة في مصر وشجع على التبادل الثقافي والتعاون الدولي.,دعم بطليموس الثالث الفنون والآداب والعلوم والفلسفة في مصر وشجع على التبادل الثقافي والتعاون الدولي.
ما هي الأثار الثقافية الباقية لحكم بطليموس الثالث في مصر؟,خلف بطليموس الثالث إرثًا ثقافيًا هامًا في مصر، حيث أسهم في تطوير الفنون والعلوم والتعليم والديانات,خلف بطليموس الثالث إرثًا ثقافيًا هامًا في مصر، حيث أسهم في تطوير الفنون والعلوم والتعليم والديانات
متى تولت كليوباترا السابعة حكم مصر؟,تولت كليوباترا السابعة حكم مصر مع شقيقها الأصغر بطليموس الثالث في العام 51 قبل الميلاد,تولت كليوباترا السابعة حكم مصر مع شقيقها الأصغر بطليموس الثالث في العام 51 قبل الميلاد
ما هو مكان ولادة كليوباترا السابعة؟,وُلدت كليوباترا السابعة في مدينة الإسكندرية، مصر,وُلدت كليوباترا السابعة في مدينة الإسكندرية، مصر
كيف كانت حياة كليوباترا السابعة قبل توليها الحكم في مصر؟,كانت كليوباترا تتلقى تعليمًا متميزًا في العلوم والفنون والثقافة اليونانية والمصرية,كانت كليوباترا تتلقى تعليمًا متميزًا في العلوم والفنون والثقافة اليونانية والمصرية
ما هي الإصلاحات التي قامت بها كليوباترا في مصر؟,قامت كليوباترا بتحسين البنية التحتية وتطوير الاقتصاد وتعزيز الحكم المركزي ودعم الثقافة والفنون,قامت كليوباترا بتحسين البنية التحتية وتطوير الاقتصاد وتعزيز الحكم المركزي ودعم الثقافة والفنون
كيف كانت العلاقة بين كليوباترا وروما؟,كانت كليوباترا تسعى للتحالف مع روما والحفاظ على استقلال مصر في وجه التهديدات الرومانية,كانت كليوباترا تسعى للتحالف مع روما والحفاظ على استقلال مصر في وجه التهديدات الرومانية
ما هي الإسهامات الثقافية التي قدمتها كليوباترا في مصر؟,دعمت كليوباترا العلوم والفنون والآداب والثقافة في مصر وشجعت على التبادل الثقافي مع العالم اليوناني والروماني,دعمت كليوباترا العلوم والفنون والآداب والثقافة في مصر وشجعت على التبادل الثقافي مع العالم اليوناني والروماني
كيف تميز حكم كليوباترا في مصر؟,تميز حكم كليوباترا بالاستقرار السياسي والاقتصادي والثقافي، وشهدت مصر تطورًا وازدهارًا في هذه الفترة,تميز حكم كليوباترا بالاستقرار السياسي والاقتصادي والثقافي، وشهدت مصر تطورًا وازدهارًا في هذه الفترة
ما هي الحروب الشهيرة التي شاركت فيها كليوباترا؟,شاركت كليوباترا في حروب ضد الرومان والتحالفات الداخلية في مصر للحفاظ على سيطرتها على البلاد,شاركت كليوباترا في حروب ضد الرومان والتحالفات الداخلية في مصر للحفاظ على سيطرتها على البلاد
متى توفيت كليوباترا السابعة؟,توفيت كليوباترا السابعة في العام 30 قبل الميلاد بعد احتلال الرومان لمصر,توفيت كليوباترا السابعة في العام 30 قبل الميلاد بعد احتلال الرومان لمصر
ما هو الإرث الثقافي الذي خلفته كليوباترا في مصر؟,خلفت كليوباترا إرثًا ثقافيًا هامًا في مصر، حيث تركت بصمتها على الثقافة والفنون والعلوم والديانات,خلفت كليوباترا إرثًا ثقافيًا هامًا في مصر، حيث تركت بصمتها على الثقافة والفنون والعلوم والديانات
ما هو تعريف الحضارة الرومانية؟,الحضارة الرومانية هي حضارة قديمة نشأت في شبه الجزيرة الإيطالية وتوسعت لتشمل أجزاء واسعة من أوروبا والبحر الأبيض المتوسط. وقد استمرت الحضارة الرومانية لأكثر من 1200 سنة، من القرن الثامن قبل الميلاد حتى القرن الخامس الميلادي. وتعد الحضارة الرومانية من أكبر وأقدم الحضارات في التاريخ، ولها تأثير كبير على العالم الغربي والثقافة الغربية بشكل عام. تشتهر الحضارة الرومانية بمساهماتها في الفن والعمارة والهندسة والفلسفة والقانون واللغة والأدب والعلوم والتكنولوجيا.,الحضارة الرومانية هي حضارة قديمة نشأت في شبه الجزيرة الإيطالية وتوسعت لتشمل أجزاء واسعة من أوروبا والبحر الأبيض المتوسط. وقد استمرت الحضارة الرومانية لأكثر من 1200 سنة، من القرن الثامن قبل الميلاد حتى القرن الخامس الميلادي. وتعد الحضارة الرومانية من أكبر وأقدم الحضارات في التاريخ، ولها تأثير كبير على العالم الغربي والثقافة الغربية بشكل عام. تشتهر الحضارة الرومانية بمساهماتها في الفن والعمارة والهندسة والفلسفة والقانون واللغة والأدب والعلوم والتكنولوجيا.
ما هي خصائص الحضارة الرومانية؟,"لحضارة الرومانية كانت واحدة من أعظم الحضارات في التاريخ القديم. بعض الخصائص الرئيسية للحضارة الرومانية تشمل:

1. النظام السياسي: كانت الحضارة الرومانية تعتمد على نظام الجمهورية في البداية، ولكن فيما بعد تحولت إلى إمبراطورية مع قيام الإمبراطورية الرومانية.

2. القانون: كان الرومان يعتبرون القانون أمرًا مهمًا جدًا وكانوا يتمتعون بنظام قانوني متقدم. واحدة من أهم المساهمات الرومانية في هذا المجال هو إنشاء ""قانون الإمبراطورية الرومانية"" الذي استمر في النفوذ لعدة قرون.

3. الهندسة المعمارية: قام الرومان ببناء العديد من المعابده والمنتزهات والمباني العامة الضخمة. أمثلة على هذا النوع من الهندسة المعمارية تشمل الكولوسيوم وقوس النصر ومحطة القطار الرومانية.

4. الثقافة والفن: كان للحضارة الرومانية تاريخ ثقافي غني ومتنوع، وتشمل الأدب والشعر والفلسفة والفنون التشكيلية. على سبيل المثال، يُعتبر الشاعر الروماني فيرجيل من أعظم الشعراء في التاريخ.

5. الهندسة المدنية: قام الرومان ببناء شبكة واسعة من الطرق والجسور والأكواداكتيل التي كانت تعتبر طرقًا مائية لنقل المياه إلى المدن. كما أنهم بنوا أيضًا نظامًا معقدًا للصرف الصحي والمجاري في المدن.

6. الجيش والفتوحات: كان للرومان جيش قوي ومنظم ونجحوا في السيطرة على معظم العالم المعروف في ذلك الوقت. بنوا إمبراطورية واسعة تمتد من أوروبا إلى شمال أفريقيا والشرق الأوسط.

هذه بعض الخصائص الرئيسية للحضارة الرومانية ، وبالطبع هناك المزيد من الجوانب والتفاصيل التي تميز هذه الحضارة العظيمة.","لحضارة الرومانية كانت واحدة من أعظم الحضارات في التاريخ القديم. بعض الخصائص الرئيسية للحضارة الرومانية تشمل:

1. النظام السياسي: كانت الحضارة الرومانية تعتمد على نظام الجمهورية في البداية، ولكن فيما بعد تحولت إلى إمبراطورية مع قيام الإمبراطورية الرومانية.

2. القانون: كان الرومان يعتبرون القانون أمرًا مهمًا جدًا وكانوا يتمتعون بنظام قانوني متقدم. واحدة من أهم المساهمات الرومانية في هذا المجال هو إنشاء ""قانون الإمبراطورية الرومانية"" الذي استمر في النفوذ لعدة قرون.

3. الهندسة المعمارية: قام الرومان ببناء العديد من المعابده والمنتزهات والمباني العامة الضخمة. أمثلة على هذا النوع من الهندسة المعمارية تشمل الكولوسيوم وقوس النصر ومحطة القطار الرومانية.

4. الثقافة والفن: كان للحضارة الرومانية تاريخ ثقافي غني ومتنوع، وتشمل الأدب والشعر والفلسفة والفنون التشكيلية. على سبيل المثال، يُعتبر الشاعر الروماني فيرجيل من أعظم الشعراء في التاريخ.

5. الهندسة المدنية: قام الرومان ببناء شبكة واسعة من الطرق والجسور والأكواداكتيل التي كانت تعتبر طرقًا مائية لنقل المياه إلى المدن. كما أنهم بنوا أيضًا نظامًا معقدًا للصرف الصحي والمجاري في المدن.

6. الجيش والفتوحات: كان للرومان جيش قوي ومنظم ونجحوا في السيطرة على معظم العالم المعروف في ذلك الوقت. بنوا إمبراطورية واسعة تمتد من أوروبا إلى شمال أفريقيا والشرق الأوسط.

هذه بعض الخصائص الرئيسية للحضارة الرومانية ، وبالطبع هناك المزيد من الجوانب والتفاصيل التي تميز هذه الحضارة العظيمة."
كيف تغيرت الحضارة المصرية خلال العصر الروماني؟,"وفي العصر الروماني، كانت مصر تحت سيطرة الإمبراطورية الرومانية التي استمرت من 30 ق.م إلى 641 م. كان الفتح الروماني لمصر بمثابة نهاية الفترة الهلنستية وبداية العصر الروماني.
في ظل الحكم الروماني، شهدت مصر تغيرات كبيرة. جلب الرومان أفكارًا وتقنيات وثقافات جديدة إلى مصر، مما أثر على الحضارة المصرية. بنى الرومان العديد من المدن الجديدة والطرق والمعالم الأثرية التي غيرت المشهد الطبيعي في مصر.
كما أدخل الرومان أنظمة إدارية جديدة ساعدت في تنظيم الاقتصاد المصري. كما أدخل الرومان ممارسات دينية جديدة مزجت بين المعتقدات المصرية والرومانية.
بشكل عام، كان العصر الروماني في مصر فترة تغيير وتحول كبير. جلب الرومان أفكارًا وتقنيات جديدة إلى مصر، وكان لها تأثير دائم على الحضارة المصرية.","وفي العصر الروماني، كانت مصر تحت سيطرة الإمبراطورية الرومانية التي استمرت من 30 ق.م إلى 641 م. كان الفتح الروماني لمصر بمثابة نهاية الفترة الهلنستية وبداية العصر الروماني.
في ظل الحكم الروماني، شهدت مصر تغيرات كبيرة. جلب الرومان أفكارًا وتقنيات وثقافات جديدة إلى مصر، مما أثر على الحضارة المصرية. بنى الرومان العديد من المدن الجديدة والطرق والمعالم الأثرية التي غيرت المشهد الطبيعي في مصر.
كما أدخل الرومان أنظمة إدارية جديدة ساعدت في تنظيم الاقتصاد المصري. كما أدخل الرومان ممارسات دينية جديدة مزجت بين المعتقدات المصرية والرومانية.
بشكل عام، كان العصر الروماني في مصر فترة تغيير وتحول كبير. جلب الرومان أفكارًا وتقنيات جديدة إلى مصر، وكان لها تأثير دائم على الحضارة المصرية."
كيف تأثر الطب الروماني بالحضارة المصرية القديمة؟,تأثر الطب الروماني بشكل كبير بمعارف وممارسات الحضارة المصرية القديمة. كان المصريون معروفين بممارساتهم الطبية المتقدمة، بما في ذلك الجراحة وطب الأسنان والصيدلة. كان لديهم فهم شامل للتشريح البشري وكانوا ماهرين في علاج الأمراض المختلفة. لقد تمكن الرومان، لكونهم جيرانًا وشركاء تجاريين للمصريين، من الوصول إلى معرفتهم الطبية ودمجها في ممارساتهم الطبية الخاصة. تم تدريب العديد من الأطباء الرومان في كليات الطب المصرية ونقلوا معرفتهم إلى روما، حيث ساهموا في تطوير الطب الروماني. وبشكل عام، كان تأثير الطب المصري القديم على الطب الروماني كبيرًا ودائمًا.,تأثر الطب الروماني بشكل كبير بمعارف وممارسات الحضارة المصرية القديمة. كان المصريون معروفين بممارساتهم الطبية المتقدمة، بما في ذلك الجراحة وطب الأسنان والصيدلة. كان لديهم فهم شامل للتشريح البشري وكانوا ماهرين في علاج الأمراض المختلفة. لقد تمكن الرومان، لكونهم جيرانًا وشركاء تجاريين للمصريين، من الوصول إلى معرفتهم الطبية ودمجها في ممارساتهم الطبية الخاصة. تم تدريب العديد من الأطباء الرومان في كليات الطب المصرية ونقلوا معرفتهم إلى روما، حيث ساهموا في تطوير الطب الروماني. وبشكل عام، كان تأثير الطب المصري القديم على الطب الروماني كبيرًا ودائمًا.
لماذا اهتم الرومان بالزراعه في مصر؟,اصبحت مصر مزرعه للقمح لكي تزود روما بالقمح وتوزيع القمح علي سكانها ولكي تكسب تأييدهم واهتموا بشئون الرى فقاموا بتطهير الترع والمصارف واعادوا بناء الجسور.,اصبحت مصر مزرعه للقمح لكي تزود روما بالقمح وتوزيع القمح علي سكانها ولكي تكسب تأييدهم واهتموا بشئون الرى فقاموا بتطهير الترع والمصارف واعادوا بناء الجسور.
لماذا قامت العلاقة بين البطالمة والرومان على الود فى المرحلة الأولى؟,بسبب قوة دولة البطالمة.,بسبب قوة دولة البطالمة.
لماذا فرضت روما حمايتها على الملوك البطالمة فى المرحلة الثانية؟, لانها اصبحت القوة العظمى فى العالم., لانها اصبحت القوة العظمى فى العالم.
لماذا توجه انطونيوس الى الشرق لزيارة مصر؟,لان الملكه كليوباترا وجهت اليه الدعوة لزيارة مصر.,لان الملكه كليوباترا وجهت اليه الدعوة لزيارة مصر.
ما سبب انتحار كليوباترا وانطونيوس؟,بسبب هزيمتهم فى معركة اكتيوم البحرية.,بسبب هزيمتهم فى معركة اكتيوم البحرية.
من هو الإسكندر المقدونى؟,هو ابن الملك فيليب المقدوني الذى وحد اقليم مقدونيا و بلاد اليونان تحت زعامته. ولد الإسكندر الأكبر عام ٣٥٦ ق . م. تعلم الإسكندر الأكبر على يد الفيلسوف اليونانى ارسطو و استولى على مصر عام٣٣٢ ق. م,هو ابن الملك فيليب المقدوني الذى وحد اقليم مقدونيا و بلاد اليونان تحت زعامته. ولد الإسكندر الأكبر عام ٣٥٦ ق . م. تعلم الإسكندر الأكبر على يد الفيلسوف اليونانى ارسطو و استولى على مصر عام٣٣٢ ق. م
 لماذاحرص الرومان على وضع حاميات عسكرية فى مصر؟,للدفاع عن البلاد.,للدفاع عن البلاد.
لماذا لم يطرأ تغيير على الحياة الاجتماعية فى عصر الرومان؟,"لانه سكن مصر اجناس متعدده وانقسم السكان الى عدة طبقات :-
أ- طبقة عليا :- تضم الرومان
ب- طبقة الاغريق: وحصلوا على بعض الامتيازات مثل عدم دفع الضرائب
ج- طبقة اليهود :- حصلوا على بعض الامتيازات بسبب تقربهم من الرومان
د- طبقة المصريين :- وعوملوا معاملة سيئة فقاموا بالثورات","لانه سكن مصر اجناس متعدده وانقسم السكان الى عدة طبقات :-
أ- طبقة عليا :- تضم الرومان
ب- طبقة الاغريق: وحصلوا على بعض الامتيازات مثل عدم دفع الضرائب
ج- طبقة اليهود :- حصلوا على بعض الامتيازات بسبب تقربهم من الرومان
د- طبقة المصريين :- وعوملوا معاملة سيئة فقاموا بالثورات"
ما سبب ثورات المصريين ضد الرومان ( ثورة الرعاة والفلاحين )؟,بسبب معاملة الرومان للمصريين معاملة سيئة.,بسبب معاملة الرومان للمصريين معاملة سيئة.
" لماذا كانت سياسة الرومان الاقتصادية صورة من صور الاستغلال
الاقتصادى؟",لانهم استغلوا موارد مصر الاقتصادية لصالح روما.,لانهم استغلوا موارد مصر الاقتصادية لصالح روما.
لماذا اصبحت مصر مزرعة للقمح تزود به روما؟,لتوزيعه على سكانها كسباً لتأييدهم.,لتوزيعه على سكانها كسباً لتأييدهم.
لماذا اصبحت الاسكندرية اهم مركز تجارى فى شرق البحر المتوسط؟, بسبب الازدهار الذى عم  الامبراطورية الرومانية., بسبب الازدهار الذى عم  الامبراطورية الرومانية.
 لماذا شهدت الصناعة فى عصر الرومان تطوراً كبيراً؟,"أ- كانت الاسكندرية مركز الصناعة
ب- لم يتبع الرومان نظام الاحتكار مثل البطالمة
ج- تركوا الصناعة فى يد الافراد ماعدا بعض الصناعات الأساسية","أ- كانت الاسكندرية مركز الصناعة
ب- لم يتبع الرومان نظام الاحتكار مثل البطالمة
ج- تركوا الصناعة فى يد الافراد ماعدا بعض الصناعات الأساسية"
 لماذا ازدهرت التجارة داخل وخارج مصر فى عصر الرومان؟,"أ- استقرار الامن
ب- الغاء الرسوم الجمركية على الواردات
ج- ارتفاع مكانة الاسكندرية كميناء تجارى هام","أ- استقرار الامن
ب- الغاء الرسوم الجمركية على الواردات
ج- ارتفاع مكانة الاسكندرية كميناء تجارى هام"
لماذا أسس الإسكندر الأكبر مدينة الإسكندرية ؟,"لتكون عاصمه لدولته وتحمل اسمه
- لتكون مركزا لنشر الحضاره الإغريقية فى العالم
- لتكون قاعدة بحرية لتدعيم سيطرته على البحر المتوسط","لتكون عاصمه لدولته وتحمل اسمه
- لتكون مركزا لنشر الحضاره الإغريقية فى العالم
- لتكون قاعدة بحرية لتدعيم سيطرته على البحر المتوسط"
لماذا احتلت الاسكندرية المركز الثانى بعد روما فى نشر الفنون والعلم؟,"أ- اقامة المسارح والاحتفالات الدينية بها
ب- استمرت تستضيف العلماء لاجراء الابحاث فى فروع العلوم","أ- اقامة المسارح والاحتفالات الدينية بها
ب- استمرت تستضيف العلماء لاجراء الابحاث فى فروع العلوم"
 لماذا ازدهرت العمارة فى مصر فى عصر الرومان؟,"حيث اقام الرومان عدة منشآت معمارية مثل :-
أ- البوابات
ب- المسارح
ج- اقواس النصر
د- الحمامات العامة
هـ- المعابد على الطراز الاغريقى والرومانى والمصرى","حيث اقام الرومان عدة منشآت معمارية مثل :-
أ- البوابات
ب- المسارح
ج- اقواس النصر
د- الحمامات العامة
هـ- المعابد على الطراز الاغريقى والرومانى والمصرى"
ما هي موقعة اكتيوم البحرية؟,موقعة حدثت بين اكتافيوس من جهة و انطونيوس وكليوباترا من جهة اخرى على السواحل الغربية لبلاد اليونان عام 31 ق . م وانتهت بأنتصار اكتافيوس واصبحت مصر ولاية رومانية.,موقعة حدثت بين اكتافيوس من جهة و انطونيوس وكليوباترا من جهة اخرى على السواحل الغربية لبلاد اليونان عام 31 ق . م وانتهت بأنتصار اكتافيوس واصبحت مصر ولاية رومانية.
ما هو  نظام الحكم فى عهد الرومان؟,"أ- حرموا المصريين منم الاشتراك فى الحكم
ب- خضعت مصر لاشراف اكتافيوس مباشرة
ج- وضعوا حاميات عسكرية للدفاع عن البلاد
د- اعتمدوا فى حكمهم على القوة العسكرية","أ- حرموا المصريين منم الاشتراك فى الحكم
ب- خضعت مصر لاشراف اكتافيوس مباشرة
ج- وضعوا حاميات عسكرية للدفاع عن البلاد
د- اعتمدوا فى حكمهم على القوة العسكرية"
ما هو نظام الادارة فى عهد الرومان؟,"أ- استخدموا اللغة اليونانية لغة رسمية للبلاد واللغة اللاتينية فى الجيش
ب- قسموا البلاد الى ثلاثة اقسام ( مصر السفلى – مصر الوسطى –مصر العليا )","أ- استخدموا اللغة اليونانية لغة رسمية للبلاد واللغة اللاتينية فى الجيش
ب- قسموا البلاد الى ثلاثة اقسام ( مصر السفلى – مصر الوسطى –مصر العليا )"
من قام ببناء مكتبة الإسكندرية؟,بطلميوس الأول,بطلميوس الأول
من اشهر علماء جامعه الإسكندرية ؟,إقليدس و هو من وضع اصول علم الهندسه و مانيتون هو المؤرخ المصرى الذى قسم تاريخ مصر القديمة الى ثلاثين أسرة و أرشيميدس هو صاحب قانون الطفو.,إقليدس و هو من وضع اصول علم الهندسه و مانيتون هو المؤرخ المصرى الذى قسم تاريخ مصر القديمة الى ثلاثين أسرة و أرشيميدس هو صاحب قانون الطفو.
متى تم تأسيس دوله البطالمه فى مصر ؟,أسست بعد وفاه الإسكندر الأكبر عام ٣٢٣ ق . م و قسمت امبراطوريته بين قواده لانه لم يكن له وريث فكانت مصر من نصيب بطلميوس الأول.,أسست بعد وفاه الإسكندر الأكبر عام ٣٢٣ ق . م و قسمت امبراطوريته بين قواده لانه لم يكن له وريث فكانت مصر من نصيب بطلميوس الأول.
من قضى على ملك الفرس دارا الاول ؟,قضى الإسكندر الأكبر عليه فى معركه جاو جميلا عام ٣٣١ ق . م,قضى الإسكندر الأكبر عليه فى معركه جاو جميلا عام ٣٣١ ق . م
هل أدركوا البطالمة اهميه العقيده الدينية فى حياه المصريين ؟,نعم، حيث اعترفوا بالديانه المصريه دينا رسميا للبلاد و اضافوا صفه التقديس لحكامهم و اهتموا بإنشاء معابد كثيره مثل معبد الإله حورس فى ادفو و معبد الإلهة إيزيس فى فيلة و ظهرت عبادات جديده مثل عباده سرابيس.,نعم، حيث اعترفوا بالديانه المصريه دينا رسميا للبلاد و اضافوا صفه التقديس لحكامهم و اهتموا بإنشاء معابد كثيره مثل معبد الإله حورس فى ادفو و معبد الإلهة إيزيس فى فيلة و ظهرت عبادات جديده مثل عباده سرابيس.
لماذا ضعفت دولة البطالمة؟,بسبب زيادة ثورات المصريين ضد البطالمة للظلم و الاضطهاد الواقع عليهم ، ضعف الملوك وتنازعهم و زيادة نغوذ روما و تدخلها فى شئون مصر الداخلية حتى احتلالها.,بسبب زيادة ثورات المصريين ضد البطالمة للظلم و الاضطهاد الواقع عليهم ، ضعف الملوك وتنازعهم و زيادة نغوذ روما و تدخلها فى شئون مصر الداخلية حتى احتلالها.
ما هى الحضاره الهيلينستية؟,هى مزيج من الخضارتين المصرية و الإغريقية.,هى مزيج من الخضارتين المصرية و الإغريقية.
مرت دولة البطالمة فى مصر بمرحلتين فما هما ؟,رحلة القوة و الازدهار  و مرحلة الضعف و الانهيار.,رحلة القوة و الازدهار  و مرحلة الضعف و الانهيار.
هل اهتم البطالمة بالزراعة؟,نعم ، شقوا الترع و القنوات و اقاموا الجسور و ادخلوا ادوات رى جديده مثل الساقية و ادخلوا زراعة عدد من الأشجار المثمرة مثل الزيتون و التفاح و الرمان.,نعم ، شقوا الترع و القنوات و اقاموا الجسور و ادخلوا ادوات رى جديده مثل الساقية و ادخلوا زراعة عدد من الأشجار المثمرة مثل الزيتون و التفاح و الرمان.
ما كانت اهميه منارة الإسكندرية ؟,كانت تستخدم فى ارشاد السفن فى البحر.,كانت تستخدم فى ارشاد السفن فى البحر.
من غزا  معظم اجزاء العالم القديم لذلك لقب بأعظم الفاتحين؟,الإسكندر الأكبر,الإسكندر الأكبر
اين دفن الإسكندر الأكبر ؟,دفن فى الإسكندرية.,دفن فى الإسكندرية.
كيف اهتم البطالمة بالتجارة؟,فرضوا رقابة على الاسواق الداخليه، فرضوا الرسوم على التجاريه الخارجيه و استخدموا العملات الذهبية و الفضية و المعدنية فى التجارة.,فرضوا رقابة على الاسواق الداخليه، فرضوا الرسوم على التجاريه الخارجيه و استخدموا العملات الذهبية و الفضية و المعدنية فى التجارة.
ما هى العلوم التى ازدهرت فى جامعة الإسكندرية ؟,الفلك، الجغرافيا ،الطب و الجراحه.,الفلك، الجغرافيا ،الطب و الجراحه.
